location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
SL,2020-01-01,ChIJQ_OrOhgGAQ8RGfcsx83paVM,Q1044,country/SLE,SL,Sierra Leone,SL,SLE,0,0,0,,0,0,,,,,,,,7976985,3981239,3995746,4493849,3319366,1168424,1168424,110.515,0.419,2225885,1867196,1405514,1017050,672894,419133,234025,108809,26479,3941474310,504,0.351,192777,8.5,-12.1,72300,71494,710,54.309,24.8,2.4,78.5,392.263,353.346,324.1,30.5,0.2239,66.402184,33.475037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.694444,23.305556,31.5,0.0,20.472222,65.530478
SL,2020-01-02,ChIJQ_OrOhgGAQ8RGfcsx83paVM,Q1044,country/SLE,SL,Sierra Leone,SL,SLE,0,1,2,,1,2,,,,,,,,7976985,3981239,3995746,4493849,3319366,1168424,1168424,110.515,0.419,2225885,1867196,1405514,1017050,672894,419133,234025,108809,26479,3941474310,504,0.351,192777,8.5,-12.1,72300,71494,710,54.309,24.8,2.4,78.5,392.263,353.346,324.1,30.5,0.2239,66.402184,33.475037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.583333,23.5,32.0,0.0,19.75,58.963135
SL,2020-01-03,ChIJQ_OrOhgGAQ8RGfcsx83paVM,Q1044,country/SLE,SL,Sierra Leone,SL,SLE,0,0,0,,1,2,,,,,,,,7976985,3981239,3995746,4493849,3319366,1168424,1168424,110.515,0.419,2225885,1867196,1405514,1017050,672894,419133,234025,108809,26479,3941474310,504,0.351,192777,8.5,-12.1,72300,71494,710,54.309,24.8,2.4,78.5,392.263,353.346,324.1,30.5,0.2239,66.402184,33.475037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.583333,23.75,31.25,0.0,21.027778,67.847786
SL,2020-01-04,ChIJQ_OrOhgGAQ8RGfcsx83paVM,Q1044,country/SLE,SL,Sierra Leone,SL,SLE,0,0,0,,1,2,,,,,,,,7976985,3981239,3995746,4493849,3319366,1168424,1168424,110.515,0.419,2225885,1867196,1405514,1017050,672894,419133,234025,108809,26479,3941474310,504,0.351,192777,8.5,-12.1,72300,71494,710,54.309,24.8,2.4,78.5,392.263,353.346,324.1,30.5,0.2239,66.402184,33.475037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.666667,22.5,30.5,0.0,18.527778,61.755443
SL,2020-01-05,ChIJQ_OrOhgGAQ8RGfcsx83paVM,Q1044,country/SLE,SL,Sierra Leone,SL,SLE,0,0,0,,1,2,,,,,,,,7976985,3981239,3995746,4493849,3319366,1168424,1168424,110.515,0.419,2225885,1867196,1405514,1017050,672894,419133,234025,108809,26479,3941474310,504,0.351,192777,8.5,-12.1,72300,71494,710,54.309,24.8,2.4,78.5,392.263,353.346,324.1,30.5,0.2239,66.402184,33.475037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.361111,22.5,31.0,0.0,18.777778,63.713748
SL,2020-01-06,ChIJQ_OrOhgGAQ8RGfcsx83paVM,Q1044,country/SLE,SL,Sierra Leone,SL,SLE,0,0,0,,1,2,,,,,,,,7976985,3981239,3995746,4493849,3319366,1168424,1168424,110.515,0.419,2225885,1867196,1405514,1017050,672894,419133,234025,108809,26479,3941474310,504,0.351,192777,8.5,-12.1,72300,71494,710,54.309,24.8,2.4,78.5,392.263,353.346,324.1,30.5,0.2239,66.402184,33.475037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.861111,21.638889,30.0,0.0,18.583333,60.81625
SL,2020-01-07,ChIJQ_OrOhgGAQ8RGfcsx83paVM,Q1044,country/SLE,SL,Sierra Leone,SL,SLE,0,0,0,,1,2,,,,,,,,7976985,3981239,3995746,4493849,3319366,1168424,1168424,110.515,0.419,2225885,1867196,1405514,1017050,672894,419133,234025,108809,26479,3941474310,504,0.351,192777,8.5,-12.1,72300,71494,710,54.309,24.8,2.4,78.5,392.263,353.346,324.1,30.5,0.2239,66.402184,33.475037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.722222,23.138889,30.0,0.0,21.25,72.007001
SL,2020-01-08,ChIJQ_OrOhgGAQ8RGfcsx83paVM,Q1044,country/SLE,SL,Sierra Leone,SL,SLE,0,0,0,,1,2,,,,,,,,7976985,3981239,3995746,4493849,3319366,1168424,1168424,110.515,0.419,2225885,1867196,1405514,1017050,672894,419133,234025,108809,26479,3941474310,504,0.351,192777,8.5,-12.1,72300,71494,710,54.309,24.8,2.4,78.5,392.263,353.346,324.1,30.5,0.2239,66.402184,33.475037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.861111,23.25,30.0,0.0,21.5,72.546755
SL,2020-01-09,ChIJQ_OrOhgGAQ8RGfcsx83paVM,Q1044,country/SLE,SL,Sierra Leone,SL,SLE,0,0,0,,1,2,,,,,,,,7976985,3981239,3995746,4493849,3319366,1168424,1168424,110.515,0.419,2225885,1867196,1405514,1017050,672894,419133,234025,108809,26479,3941474310,504,0.351,192777,8.5,-12.1,72300,71494,710,54.309,24.8,2.4,78.5,392.263,353.346,324.1,30.5,0.2239,66.402184,33.475037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.694444,23.111111,31.75,0.0,21.694444,69.935458
SL,2020-01-10,ChIJQ_OrOhgGAQ8RGfcsx83paVM,Q1044,country/SLE,SL,Sierra Leone,SL,SLE,0,0,0,,1,2,,,,,,,,7976985,3981239,3995746,4493849,3319366,1168424,1168424,110.515,0.419,2225885,1867196,1405514,1017050,672894,419133,234025,108809,26479,3941474310,504,0.351,192777,8.5,-12.1,72300,71494,710,54.309,24.8,2.4,78.5,392.263,353.346,324.1,30.5,0.2239,66.402184,33.475037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.583333,23.75,31.5,0.0,21.305556,72.842786
