location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
TO,2020-01-01,ChIJHdCfu0S2k3ERqeJexcrMbfM,Q678,country/TON,TO,Tonga,TO,TON,0,,,,,,,,,,,105697,52904,52793,80349,24145,146.801,0.726,24639,23522,17140,12183,10290,8701,5303,2791,1128,450353313,4364,0.512,2186665,-20.587778,-174.810278,750,552,181,70.801,27.9,15.7,13.4,213.56,120.542,73.3,23.3,4.157,222.015488,23.601473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.638889,23.444444,28.180556,6.0325,21.041667,75.823676
TO,2020-01-02,ChIJHdCfu0S2k3ERqeJexcrMbfM,Q678,country/TON,TO,Tonga,TO,TON,0,0,0,0,0,,,,,,,105697,52904,52793,80349,24145,146.801,0.726,24639,23522,17140,12183,10290,8701,5303,2791,1128,450353313,4364,0.512,2186665,-20.587778,-174.810278,750,552,181,70.801,27.9,15.7,13.4,213.56,120.542,73.3,23.3,4.157,222.015488,23.601473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.583333,20.944444,28.180556,0.1905,19.736111,74.692792
TO,2020-01-03,ChIJHdCfu0S2k3ERqeJexcrMbfM,Q678,country/TON,TO,Tonga,TO,TON,0,0,0,0,0,,,,,,,105697,52904,52793,80349,24145,146.801,0.726,24639,23522,17140,12183,10290,8701,5303,2791,1128,450353313,4364,0.512,2186665,-20.587778,-174.810278,750,552,181,70.801,27.9,15.7,13.4,213.56,120.542,73.3,23.3,4.157,222.015488,23.601473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.986111,20.013889,28.361111,0.127,19.763889,73.030516
TO,2020-01-04,ChIJHdCfu0S2k3ERqeJexcrMbfM,Q678,country/TON,TO,Tonga,TO,TON,0,0,0,0,0,,,,,,,105697,52904,52793,80349,24145,146.801,0.726,24639,23522,17140,12183,10290,8701,5303,2791,1128,450353313,4364,0.512,2186665,-20.587778,-174.810278,750,552,181,70.801,27.9,15.7,13.4,213.56,120.542,73.3,23.3,4.157,222.015488,23.601473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.25,20.652778,29.222222,0.8255,21.097222,78.082971
TO,2020-01-05,ChIJHdCfu0S2k3ERqeJexcrMbfM,Q678,country/TON,TO,Tonga,TO,TON,0,0,0,0,0,,,,,,,105697,52904,52793,80349,24145,146.801,0.726,24639,23522,17140,12183,10290,8701,5303,2791,1128,450353313,4364,0.512,2186665,-20.587778,-174.810278,750,552,181,70.801,27.9,15.7,13.4,213.56,120.542,73.3,23.3,4.157,222.015488,23.601473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.541667,21.597222,29.180556,1.27,22.625,79.207869
TO,2020-01-06,ChIJHdCfu0S2k3ERqeJexcrMbfM,Q678,country/TON,TO,Tonga,TO,TON,0,0,0,0,0,,,,,,,105697,52904,52793,80349,24145,146.801,0.726,24639,23522,17140,12183,10290,8701,5303,2791,1128,450353313,4364,0.512,2186665,-20.587778,-174.810278,750,552,181,70.801,27.9,15.7,13.4,213.56,120.542,73.3,23.3,4.157,222.015488,23.601473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.555556,22.347222,29.125,0.0,22.541667,78.722311
TO,2020-01-07,ChIJHdCfu0S2k3ERqeJexcrMbfM,Q678,country/TON,TO,Tonga,TO,TON,0,0,0,0,0,,,,,,,105697,52904,52793,80349,24145,146.801,0.726,24639,23522,17140,12183,10290,8701,5303,2791,1128,450353313,4364,0.512,2186665,-20.587778,-174.810278,750,552,181,70.801,27.9,15.7,13.4,213.56,120.542,73.3,23.3,4.157,222.015488,23.601473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.986111,23.805556,29.208333,0.0,23.291667,80.349042
TO,2020-01-08,ChIJHdCfu0S2k3ERqeJexcrMbfM,Q678,country/TON,TO,Tonga,TO,TON,0,0,0,0,0,,,,,,,105697,52904,52793,80349,24145,146.801,0.726,24639,23522,17140,12183,10290,8701,5303,2791,1128,450353313,4364,0.512,2186665,-20.587778,-174.810278,750,552,181,70.801,27.9,15.7,13.4,213.56,120.542,73.3,23.3,4.157,222.015488,23.601473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.347222,24.055556,30.166667,0.127,23.916667,81.678038
TO,2020-01-09,ChIJHdCfu0S2k3ERqeJexcrMbfM,Q678,country/TON,TO,Tonga,TO,TON,0,0,0,0,0,,,,,,,105697,52904,52793,80349,24145,146.801,0.726,24639,23522,17140,12183,10290,8701,5303,2791,1128,450353313,4364,0.512,2186665,-20.587778,-174.810278,750,552,181,70.801,27.9,15.7,13.4,213.56,120.542,73.3,23.3,4.157,222.015488,23.601473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.513889,23.458333,30.152778,0.254,24.277778,82.62041
TO,2020-01-10,ChIJHdCfu0S2k3ERqeJexcrMbfM,Q678,country/TON,TO,Tonga,TO,TON,0,0,0,0,0,,,,,,,105697,52904,52793,80349,24145,146.801,0.726,24639,23522,17140,12183,10290,8701,5303,2791,1128,450353313,4364,0.512,2186665,-20.587778,-174.810278,750,552,181,70.801,27.9,15.7,13.4,213.56,120.542,73.3,23.3,4.157,222.015488,23.601473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.680556,24.666667,30.069444,0.9525,24.152778,81.184611
