location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_hospitalized_patients,cumulative_hospitalized_patients,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
JP,2020-01-01,ChIJLxl_1w9OZzQRRFJmfNR1QvU,Q17,country/JPN,JP,Japan,JP,JPN,0,0,0,,0,0,,,,,,,,,,126476458,61753045,64723413,10482515,115782416,37435191,81716514,346.934,0.919,10179969,11267171,12147325,14455416,18473075,16541515,15875235,16185375,11351377,5081769542379,40246,0.844,382313,35.0,136.0,377970,260649,108678,84.210976,22.1,5.6,1.8,66.483,35.709,11.9,8.4,12.1531,2.4115,4168.986328,535.619568,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.994444,2.061111,9.733333,0.4572,,-0.483333,63.811649
JP,2020-01-02,ChIJLxl_1w9OZzQRRFJmfNR1QvU,Q17,country/JPN,JP,Japan,JP,JPN,0,0,0,,0,0,,,,,,,,,,126476458,61753045,64723413,10482515,115782416,37435191,81716514,346.934,0.919,10179969,11267171,12147325,14455416,18473075,16541515,15875235,16185375,11351377,5081769542379,40246,0.844,382313,35.0,136.0,377970,260649,108678,84.210976,22.1,5.6,1.8,66.483,35.709,11.9,8.4,12.1531,2.4115,4168.986328,535.619568,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.161111,2.927778,11.172222,3.7084,,1.333333,67.277934
JP,2020-01-03,ChIJLxl_1w9OZzQRRFJmfNR1QvU,Q17,country/JPN,JP,Japan,JP,JPN,0,0,0,,0,0,,,,,,,,,,126476458,61753045,64723413,10482515,115782416,37435191,81716514,346.934,0.919,10179969,11267171,12147325,14455416,18473075,16541515,15875235,16185375,11351377,5081769542379,40246,0.844,382313,35.0,136.0,377970,260649,108678,84.210976,22.1,5.6,1.8,66.483,35.709,11.9,8.4,12.1531,2.4115,4168.986328,535.619568,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.594444,3.894444,12.605556,2.0066,,1.9,63.492889
JP,2020-01-04,ChIJLxl_1w9OZzQRRFJmfNR1QvU,Q17,country/JPN,JP,Japan,JP,JPN,0,0,0,,0,0,,,,,,,,,,126476458,61753045,64723413,10482515,115782416,37435191,81716514,346.934,0.919,10179969,11267171,12147325,14455416,18473075,16541515,15875235,16185375,11351377,5081769542379,40246,0.844,382313,35.0,136.0,377970,260649,108678,84.210976,22.1,5.6,1.8,66.483,35.709,11.9,8.4,12.1531,2.4115,4168.986328,535.619568,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.0,4.355556,11.533333,2.0574,,1.488889,63.883988
JP,2020-01-05,ChIJLxl_1w9OZzQRRFJmfNR1QvU,Q17,country/JPN,JP,Japan,JP,JPN,0,0,0,,0,0,,,,,,,,,,126476458,61753045,64723413,10482515,115782416,37435191,81716514,346.934,0.919,10179969,11267171,12147325,14455416,18473075,16541515,15875235,16185375,11351377,5081769542379,40246,0.844,382313,35.0,136.0,377970,260649,108678,84.210976,22.1,5.6,1.8,66.483,35.709,11.9,8.4,12.1531,2.4115,4168.986328,535.619568,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.605556,1.9,8.711111,1.072444,,-0.772222,64.015449
JP,2020-01-06,ChIJLxl_1w9OZzQRRFJmfNR1QvU,Q17,country/JPN,JP,Japan,JP,JPN,0,0,0,,0,0,,,,,,,,,,126476458,61753045,64723413,10482515,115782416,37435191,81716514,346.934,0.919,10179969,11267171,12147325,14455416,18473075,16541515,15875235,16185375,11351377,5081769542379,40246,0.844,382313,35.0,136.0,377970,260649,108678,84.210976,22.1,5.6,1.8,66.483,35.709,11.9,8.4,12.1531,2.4115,4168.986328,535.619568,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.127778,2.194444,10.816667,0.0,,-0.305556,59.509633
JP,2020-01-07,ChIJLxl_1w9OZzQRRFJmfNR1QvU,Q17,country/JPN,JP,Japan,JP,JPN,0,0,0,,0,0,,,,,,,,,,126476458,61753045,64723413,10482515,115782416,37435191,81716514,346.934,0.919,10179969,11267171,12147325,14455416,18473075,16541515,15875235,16185375,11351377,5081769542379,40246,0.844,382313,35.0,136.0,377970,260649,108678,84.210976,22.1,5.6,1.8,66.483,35.709,11.9,8.4,12.1531,2.4115,4168.986328,535.619568,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.78,7.138889,3.933333,10.211111,5.6515,,5.627778,90.289746
JP,2020-01-08,ChIJLxl_1w9OZzQRRFJmfNR1QvU,Q17,country/JPN,JP,Japan,JP,JPN,0,0,0,,0,0,,,,,,,,,,126476458,61753045,64723413,10482515,115782416,37435191,81716514,346.934,0.919,10179969,11267171,12147325,14455416,18473075,16541515,15875235,16185375,11351377,5081769542379,40246,0.844,382313,35.0,136.0,377970,260649,108678,84.210976,22.1,5.6,1.8,66.483,35.709,11.9,8.4,12.1531,2.4115,4168.986328,535.619568,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.78,11.577778,6.9,16.744444,14.957778,,5.338889,65.753585
JP,2020-01-09,ChIJLxl_1w9OZzQRRFJmfNR1QvU,Q17,country/JPN,JP,Japan,JP,JPN,0,0,0,,0,0,,,,,,,,,,126476458,61753045,64723413,10482515,115782416,37435191,81716514,346.934,0.919,10179969,11267171,12147325,14455416,18473075,16541515,15875235,16185375,11351377,5081769542379,40246,0.844,382313,35.0,136.0,377970,260649,108678,84.210976,22.1,5.6,1.8,66.483,35.709,11.9,8.4,12.1531,2.4115,4168.986328,535.619568,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.78,9.438889,6.111111,12.827778,1.5494,,3.111111,64.925357
JP,2020-01-10,ChIJLxl_1w9OZzQRRFJmfNR1QvU,Q17,country/JPN,JP,Japan,JP,JPN,0,0,0,,0,0,,,,,,,,,,126476458,61753045,64723413,10482515,115782416,37435191,81716514,346.934,0.919,10179969,11267171,12147325,14455416,18473075,16541515,15875235,16185375,11351377,5081769542379,40246,0.844,382313,35.0,136.0,377970,260649,108678,84.210976,22.1,5.6,1.8,66.483,35.709,11.9,8.4,12.1531,2.4115,4168.986328,535.619568,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.78,6.816667,2.472222,11.827778,0.846667,,1.305556,68.423548
