location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
GA,2020-01-01,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,Q1000,country/GAB,GA,Gabon,GA,GAB,0,0,0,,0,0,,,,,,,,2225728,1132854,1092874,222885,1949694,823870,8.638,0.702,600006,422770,367413,350066,232164,134152,71303,36693,11161,16657960228,7667,0.453,192793,-0.683331,11.5,267670,261381,836,66.187,6.0,32.7,238.333,182.317,76.0,14.4,2.946,0.6819,204.492249,51.442871,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.753968,23.944444,31.373016,0.0,23.698413,78.736219
GA,2020-01-02,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,Q1000,country/GAB,GA,Gabon,GA,GAB,0,1,3,,1,3,,,,,,,,2225728,1132854,1092874,222885,1949694,823870,8.638,0.702,600006,422770,367413,350066,232164,134152,71303,36693,11161,16657960228,7667,0.453,192793,-0.683331,11.5,267670,261381,836,66.187,6.0,32.7,238.333,182.317,76.0,14.4,2.946,0.6819,204.492249,51.442871,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.034722,23.763889,31.0625,1.36525,23.958333,78.805585
GA,2020-01-03,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,Q1000,country/GAB,GA,Gabon,GA,GAB,0,0,0,,1,3,,,,,,,,2225728,1132854,1092874,222885,1949694,823870,8.638,0.702,600006,422770,367413,350066,232164,134152,71303,36693,11161,16657960228,7667,0.453,192793,-0.683331,11.5,267670,261381,836,66.187,6.0,32.7,238.333,182.317,76.0,14.4,2.946,0.6819,204.492249,51.442871,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.030864,23.203704,30.055556,2.140857,22.796296,77.931544
GA,2020-01-04,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,Q1000,country/GAB,GA,Gabon,GA,GAB,0,0,0,,1,3,,,,,,,,2225728,1132854,1092874,222885,1949694,823870,8.638,0.702,600006,422770,367413,350066,232164,134152,71303,36693,11161,16657960228,7667,0.453,192793,-0.683331,11.5,267670,261381,836,66.187,6.0,32.7,238.333,182.317,76.0,14.4,2.946,0.6819,204.492249,51.442871,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.104167,22.701389,31.763889,0.580571,22.951389,73.884924
GA,2020-01-05,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,Q1000,country/GAB,GA,Gabon,GA,GAB,0,0,0,,1,3,,,,,,,,2225728,1132854,1092874,222885,1949694,823870,8.638,0.702,600006,422770,367413,350066,232164,134152,71303,36693,11161,16657960228,7667,0.453,192793,-0.683331,11.5,267670,261381,836,66.187,6.0,32.7,238.333,182.317,76.0,14.4,2.946,0.6819,204.492249,51.442871,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.179012,23.469136,31.555556,0.635,23.345679,75.439265
GA,2020-01-06,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,Q1000,country/GAB,GA,Gabon,GA,GAB,0,0,0,,1,3,,,,,,,,2225728,1132854,1092874,222885,1949694,823870,8.638,0.702,600006,422770,367413,350066,232164,134152,71303,36693,11161,16657960228,7667,0.453,192793,-0.683331,11.5,267670,261381,836,66.187,6.0,32.7,238.333,182.317,76.0,14.4,2.946,0.6819,204.492249,51.442871,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.475309,23.833333,31.895062,0.127,23.333333,73.955858
GA,2020-01-07,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,Q1000,country/GAB,GA,Gabon,GA,GAB,0,0,0,,1,3,,,,,,,,2225728,1132854,1092874,222885,1949694,823870,8.638,0.702,600006,422770,367413,350066,232164,134152,71303,36693,11161,16657960228,7667,0.453,192793,-0.683331,11.5,267670,261381,836,66.187,6.0,32.7,238.333,182.317,76.0,14.4,2.946,0.6819,204.492249,51.442871,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.783951,22.833333,31.679012,0.0,22.82716,74.692345
GA,2020-01-08,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,Q1000,country/GAB,GA,Gabon,GA,GAB,0,0,0,,1,3,,,,,,,,2225728,1132854,1092874,222885,1949694,823870,8.638,0.702,600006,422770,367413,350066,232164,134152,71303,36693,11161,16657960228,7667,0.453,192793,-0.683331,11.5,267670,261381,836,66.187,6.0,32.7,238.333,182.317,76.0,14.4,2.946,0.6819,204.492249,51.442871,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.098765,23.512346,31.876543,0.056444,23.364198,75.721258
GA,2020-01-09,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,Q1000,country/GAB,GA,Gabon,GA,GAB,0,0,0,,1,3,,,,,,,,2225728,1132854,1092874,222885,1949694,823870,8.638,0.702,600006,422770,367413,350066,232164,134152,71303,36693,11161,16657960228,7667,0.453,192793,-0.683331,11.5,267670,261381,836,66.187,6.0,32.7,238.333,182.317,76.0,14.4,2.946,0.6819,204.492249,51.442871,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.228395,22.5,27.919753,12.736286,22.623457,85.726907
GA,2020-01-10,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,Q1000,country/GAB,GA,Gabon,GA,GAB,0,0,0,,1,3,,,,,,,,2225728,1132854,1092874,222885,1949694,823870,8.638,0.702,600006,422770,367413,350066,232164,134152,71303,36693,11161,16657960228,7667,0.453,192793,-0.683331,11.5,267670,261381,836,66.187,6.0,32.7,238.333,182.317,76.0,14.4,2.946,0.6819,204.492249,51.442871,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.32716,22.141975,28.191358,1.016,22.487654,84.689007
